@id,title,dateCreated,dateModified,sameAs,rights.name,creator.@id,creator.name,usage.viewCount,usage.downloadCount
https://test.osf.io/g96fj,QA Runscope,2020-04-15,2020-04-15,https://doi.org/10.31219/FK2osf.io/g96fj,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/a6vwf,QA Runscope,2020-09-07,2020-09-07,https://doi.org/10.31219/FK2osf.io/a6vwf,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/qwc7h,QA Runscope,2019-06-10,2019-06-10,https://doi.org/10.31219/osf.io/qwc7h,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/qrt4b,QA Runscope,2019-08-21,2019-08-21,https://doi.org/10.31219/osf.io/qrt4b,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/e57xc,Hello,2019-09-11,2019-09-11,https://doi.org/10.31219/osf.io/e57xc,No license,https://test.osf.io/mfnwq,Dawn Pattison,,
https://test.osf.io/s7vym,QA Runscope,2020-10-06,2020-10-06,https://doi.org/10.31219/FK2osf.io/s7vym,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/9nhbz,QA Runscope,2021-03-24,2021-03-24,https://doi.org/10.31219/FK2osf.io/9nhbz,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/cjpv2,QA Runscope,2021-05-09,2021-05-09,https://doi.org/10.31219/FK2osf.io/cjpv2,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/zbjad,QA Runscope,2019-08-08,2019-08-08,https://doi.org/10.31219/osf.io/zbjad,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/j648d,QA Runscope,2021-08-23,2021-08-23,https://doi.org/10.31219/FK2osf.io/j648d,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/xnpzs,Test demo preprint,2025-02-05,2025-02-06,https://doi.org/10.31219/FK2osf.io/xnpzs_v1,CC0 1.0 Universal,https://test.osf.io/kzqhy ; https://test.osf.io/t82fv,Ramyashri Virajamangala ; OSFTesting+Read+Write+User,,
https://test.osf.io/udyt7,test,2023-02-17,2023-02-17,https://doi.org/10.31219/FK2osf.io/udyt7,CC0 1.0 Universal,https://test.osf.io/fs8ux,Daniel Steger,,
https://test.osf.io/43mfx,QA Runscope,2021-05-27,2021-05-27,https://doi.org/10.31219/FK2osf.io/43mfx,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/23szd,QA Runscope,2019-11-23,2019-11-23,https://doi.org/10.31219/osf.io/23szd,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/wy86e,QA Runscope,2020-05-16,2020-05-16,https://doi.org/10.31219/FK2osf.io/wy86e,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/7tfg8,pups,2018-12-14,2018-12-14,https://doi.org/10.31219/osf.io/7tfg8,CC0 1.0 Universal,https://test.osf.io/r28ct ; https://test.osf.io/vueaj,Erin Braswell ; Unreg Erin,,
https://test.osf.io/wd97r,QA Runscope,2020-07-21,2020-07-21,https://doi.org/10.31219/FK2osf.io/wd97r,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/s6vt4,QA Runscope,2019-04-28,2019-04-28,https://doi.org/10.31219/osf.io/s6vt4,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/smrux,Testing metadata editing during new version socarxiv,2025-03-11,2025-03-16,https://doi.org/10.31235/FK2osf.io/smrux_v1,CC-By Attribution 4.0 International,https://test.osf.io/atryg,Blaine Butler,,
https://test.osf.io/z65wq,QA Runscope,2021-04-04,2021-04-04,https://doi.org/10.31219/FK2osf.io/z65wq,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/cxvfh,QA Runscope,2019-03-26,2019-03-26,https://doi.org/10.31219/osf.io/cxvfh,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/p49e3,QA Runscope,2021-08-29,2021-08-29,https://doi.org/10.31219/FK2osf.io/p49e3,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/9z5qs,",bsejgb",2017-12-12,2018-12-14,https://doi.org/10.31219/osf.io/9z5qs,CC0 1.0 Universal,https://test.osf.io/5jqnu,Rebecca Rosenblatt,,
https://test.osf.io/xjmed,Nici's Test,2018-03-05,2018-12-14,https://doi.org/10.1149/FK2osf.io/xjmed,CC0 1.0 Universal,https://test.osf.io/783bw,Nici Product,,
https://test.osf.io/bqz7k,aaaa,2021-04-08,2023-12-13,https://doi.org/10.31219/FK2osf.io/bqz7k,CC0 1.0 Universal,https://test.osf.io/qnaus ; https://test.osf.io/t7p6z,Futa COS Ikeda ; Nelles Ikeda,,
https://test.osf.io/tzn5m,QA Runscope,2021-07-13,2021-07-13,https://doi.org/10.31219/FK2osf.io/tzn5m,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/ec4vx,QA Runscope,2021-05-29,2021-05-29,https://doi.org/10.31219/FK2osf.io/ec4vx,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/tufag,QA Runscope,2020-04-10,2020-04-10,https://doi.org/10.31219/FK2osf.io/tufag,,https://test.osf.io/9p57h,QA Runscope,,
https://test.osf.io/uwkpe,QA Runscope,2020-04-04,2020-04-04,https://doi.org/10.31219/FK2osf.io/uwkpe,,https://test.osf.io/9p57h,QA Runscope,,
